Date,AAPL,MSFT,NVDA,GOOGL,AMZN,^GSPC,^VIX
2015-01-02,24.288578033447266,39.998695373535156,0.48306551575660706,26.319652557373047,15.425999641418457,2058.199951171875,17.790000915527344
2015-01-03,24.288578033447266,39.998695373535156,0.48306551575660706,26.319652557373047,15.425999641418457,2058.199951171875,17.790000915527344
2015-01-04,24.288578033447266,39.998695373535156,0.48306551575660706,26.319652557373047,15.425999641418457,2058.199951171875,17.790000915527344
2015-01-05,23.604337692260742,39.630882263183594,0.47490641474723816,25.818159103393555,15.10949993133545,2020.5799560546875,19.920000076293945
2015-01-06,23.606555938720703,39.04920196533203,0.4605080485343933,25.18098258972168,14.76449966430664,2002.6099853515625,21.1200008392334
2015-01-07,23.93756866455078,39.54533767700195,0.45930832624435425,25.1069278717041,14.920999526977539,2025.9000244140625,19.309999465942383
2015-01-08,24.85730743408203,40.70869445800781,0.47658631205558777,25.194400787353516,15.02299976348877,2062.139892578125,17.010000228881836
2015-01-09,24.883968353271484,40.36653137207031,0.47850605845451355,24.88674545288086,14.846500396728516,2044.81005859375,17.549999237060547
2015-01-10,24.883968353271484,40.36653137207031,0.47850605845451355,24.88674545288086,14.846500396728516,2044.81005859375,17.549999237060547
2015-01-11,24.883968353271484,40.36653137207031,0.47850605845451355,24.88674545288086,14.846500396728516,2044.81005859375,17.549999237060547
2015-01-12,24.270811080932617,39.86183547973633,0.47250673174858093,24.704837799072266,14.570500373840332,2028.260009765625,19.600000381469727
2015-01-13,24.48630714416504,39.65653991699219,0.47178682684898376,24.94042205810547,14.737000465393066,2023.030029296875,20.559999465942383
2015-01-14,24.392993927001953,39.31437301635742,0.4737066626548767,25.14569091796875,14.66349983215332,2011.27001953125,21.479999542236328
2015-01-15,23.73096466064453,38.90378952026367,0.47034695744514465,25.050264358520508,14.34749984741211,1992.6700439453125,22.389999389648438
2015-01-16,23.546573638916016,39.55390548706055,0.478985995054245,25.3708438873291,14.536999702453613,2019.4200439453125,20.950000762939453
2015-01-17,23.546573638916016,39.55390548706055,0.478985995054245,25.3708438873291,14.536999702453613,2019.4200439453125,20.950000762939453
2015-01-18,23.546573638916016,39.55390548706055,0.478985995054245,25.3708438873291,14.536999702453613,2019.4200439453125,20.950000762939453
2015-01-19,23.546573638916016,39.55390548706055,0.478985995054245,25.3708438873291,14.536999702453613,2019.4200439453125,20.950000762939453
2015-01-20,24.153064727783203,39.682193756103516,0.4804258346557617,25.344995498657227,14.472000122070312,2022.550048828125,19.889999389648438
2015-01-21,24.33745574951172,39.28016662597656,0.48714521527290344,25.864383697509766,14.862500190734863,2032.1199951171875,18.850000381469727
2015-01-22,24.970605850219727,40.315208435058594,0.49554410576820374,26.70484161376953,15.515999794006348,2063.14990234375,16.399999618530273
2015-01-23,25.099462509155273,40.35796356201172,0.4969840347766876,26.935956954956055,15.619500160217285,2051.820068359375,16.65999984741211
2015-01-24,25.099462509155273,40.35796356201172,0.4969840347766876,26.935956954956055,15.619500160217285,2051.820068359375,16.65999984741211
2015-01-25,25.099462509155273,40.35796356201172,0.4969840347766876,26.935956954956055,15.619500160217285,2051.820068359375,16.65999984741211
2015-01-26,25.12611198425293,40.212554931640625,0.4948243796825409,26.67601776123047,15.482999801635742,2057.090087890625,15.520000457763672
2015-01-27,24.246376037597656,36.49154281616211,0.4710668623447418,25.904144287109375,15.337499618530273,2029.550048828125,17.219999313354492
2015-01-28,25.61709213256836,35.234100341796875,0.46338772773742676,25.46875762939453,15.195500373840332,2002.1600341796875,20.440000534057617
2015-01-29,26.414642333984375,35.935523986816406,0.4746665358543396,25.508520126342773,15.58899974822998,2021.25,18.760000228881836
2015-01-30,26.0280818939209,34.5583381652832,0.4607480764389038,26.717267990112305,17.726499557495117,1994.989990234375,20.969999313354492
2015-01-31,26.0280818939209,34.5583381652832,0.4607480764389038,26.717267990112305,17.726499557495117,1994.989990234375,20.969999313354492
2015-02-01,26.0280818939209,34.5583381652832,0.4607480764389038,26.717267990112305,17.726499557495117,1994.989990234375,20.969999313354492
2015-02-02,26.35465431213379,35.31108474731445,0.47082704305648804,26.45136260986328,18.223499298095703,2020.8499755859375,19.43000030517578
2015-02-03,26.359094619750977,35.58481979370117,0.4825855493545532,26.50603485107422,18.177499771118164,2050.030029296875,17.329999923706055
2015-02-04,26.561260223388672,35.79012680053711,0.48378556966781616,26.148181915283203,18.237499237060547,2041.510009765625,18.329999923706055
2015-02-05,26.750839233398438,36.3119010925293,0.4917045533657074,26.333568572998047,18.694499969482422,2062.52001953125,16.850000381469727
2015-02-06,26.52557945251465,36.2776985168457,0.4895447790622711,26.534862518310547,18.714000701904297,2055.469970703125,17.290000915527344
2015-02-07,26.52557945251465,36.2776985168457,0.4895447790622711,26.534862518310547,18.714000701904297,2055.469970703125,17.290000915527344
2015-02-08,26.52557945251465,36.2776985168457,0.4895447790622711,26.534862518310547,18.714000701904297,2055.469970703125,17.290000915527344
2015-02-09,26.70176887512207,36.234928131103516,0.4890650808811188,26.30623435974121,18.527999877929688,2046.739990234375,18.549999237060547
2015-02-10,27.214752197265625,36.44021987915039,0.5027432441711426,26.846988677978516,18.649999618530273,2068.590087890625,17.229999542236328
2015-02-11,27.852636337280273,36.25203323364258,0.4993836283683777,26.73963165283203,18.756999969482422,2068.530029296875,16.959999084472656
2015-02-12,28.20503044128418,36.85936737060547,0.535139799118042,27.137746810913086,18.85849952697754,2088.47998046875,15.34000015258789
2015-02-13,28.34331512451172,37.52658462524414,0.5353796482086182,27.39371109008789,19.09149932861328,2096.989990234375,14.6899995803833
